id,indegree,outdegree,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,strongcompnum
2@purdue.edu,0,0,0,0.0,0.0,0.0,0.0,0
3@purdue.edu,16,16,32,8.0,0.3002309468822171,0.38630952380952416,6140.411799097019,33
4@purdue.edu,2,8,10,7.0,0.3140096618357488,0.3775091575091578,604.4278622249209,33
5@purdue.edu,3,1,4,9.0,0.19174041297935104,0.21902319902319894,99.4648508898509,33
6@purdue.edu,1,2,3,8.0,0.22807017543859648,0.2598626373626372,26.31015406162465,33
7@purdue.edu,3,5,8,8.0,0.22452504317789293,0.2678113553113553,1003.4141477588461,33
8@purdue.edu,1,1,2,9.0,0.16905071521456436,0.18227411477411462,17.25,33
9@purdue.edu,3,3,6,7.0,0.2102728731942215,0.24138495092693554,42.41746031746032,34
10@purdue.edu,0,1,1,11.0,0.16133004926108374,0.18048010089994818,0.0,35
11@purdue.edu,1,2,3,8.0,0.2313167259786477,0.2633791208791208,324.17453934953903,33
12@purdue.edu,6,5,11,8.0,0.2620967741935484,0.30535714285714294,869.4583973789078,33
13@purdue.edu,5,3,8,7.0,0.2524271844660194,0.28906593406593395,832.2098378229958,33
14@purdue.edu,10,4,14,10.0,0.19089574155653452,0.2197527472527472,964.3695054945058,33
15@purdue.edu,3,3,6,9.0,0.19578313253012047,0.226141636141636,199.56434676434674,33
16@purdue.edu,4,2,6,9.0,0.19145802650957292,0.21786935286935277,259.6635985819119,33
17@purdue.edu,5,1,6,8.0,0.20155038759689922,0.21779304029304014,532.3166666666666,33
18@purdue.edu,0,1,1,13.0,0.1278048780487805,0.14466015324793935,0.0,36
19@purdue.edu,5,3,8,12.0,0.14541387024608501,0.16800144300144287,427.2296218487395,33
20@purdue.edu,0,1,1,10.0,0.19640179910044978,0.22223736822973464,0.0,37
21@purdue.edu,0,2,2,11.0,0.16236162361623616,0.18668858498403945,0.0,39
22@purdue.edu,1,0,1,0.0,0.0,0.0,0.0,38
23@purdue.edu,0,1,1,10.0,0.1984848484848485,0.22408215194474732,0.0,40
24@purdue.edu,2,3,5,8.0,0.20249221183800623,0.2320879120879119,524.1114441114438,33
25@purdue.edu,2,7,9,8.0,0.27253668763102723,0.33522893772893786,610.5442807192808,33
26@purdue.edu,2,4,6,8.0,0.2134646962233169,0.24400183150183138,186.03474025974015,33
27@purdue.edu,10,11,21,6.0,0.3341902313624679,0.3964102564102568,3212.0552757434607,33
28@purdue.edu,10,3,13,9.0,0.24574669187145556,0.293391330891331,2240.809098396444,33
29@purdue.edu,2,0,2,0.0,0.0,0.0,0.0,17
30@purdue.edu,3,0,3,0.0,0.0,0.0,0.0,14
31@purdue.edu,7,4,11,7.0,0.2514506769825919,0.2841391941391943,1108.175291601281,33
32@purdue.edu,16,6,22,9.0,0.23297491039426524,0.27577228327228326,1859.4140775890778,33
33@purdue.edu,3,1,4,10.0,0.19817073170731708,0.2238827838827838,209.70010822510824,33
34@purdue.edu,0,4,4,7.0,0.25882352941176473,0.29994588744588746,0.0,42
35@purdue.edu,0,5,5,6.0,0.27637130801687765,0.32188295165394415,0.0,43
36@purdue.edu,1,2,3,8.0,0.20344287949921752,0.2258699633699633,11.616666666666664,33
37@purdue.edu,0,1,1,12.0,0.13983050847457626,0.15542109405745752,0.0,45
38@purdue.edu,1,1,2,11.0,0.16133004926108374,0.18048010089994818,131.0,44
39@purdue.edu,2,0,2,0.0,0.0,0.0,0.0,8
40@purdue.edu,1,2,3,8.0,0.2222222222222222,0.24945970695970685,304.66146875999823,33
41@purdue.edu,1,0,1,0.0,0.0,0.0,0.0,41
42@purdue.edu,1,0,1,0.0,0.0,0.0,0.0,28
43@purdue.edu,0,1,1,10.0,0.19013062409288825,0.2138767720828789,0.0,46
44@purdue.edu,3,7,10,8.0,0.2658486707566462,0.3240750915750916,1222.5146029409186,33
45@purdue.edu,2,2,4,1.0,1.0,1.0,9.7,26
46@purdue.edu,0,0,0,0.0,0.0,0.0,0.0,47
47@purdue.edu,2,3,5,8.0,0.24667931688804554,0.28002747252747245,938.9488048501207,33
48@purdue.edu,4,0,4,0.0,0.0,0.0,0.0,5
49@purdue.edu,2,2,4,9.0,0.14994232987312572,0.16532356532356524,270.0,33
50@purdue.edu,4,0,4,0.0,0.0,0.0,0.0,16
51@purdue.edu,5,2,7,7.0,0.25193798449612403,0.28122710622710595,620.6372709162182,33
52@purdue.edu,0,0,0,0.0,0.0,0.0,0.0,48
53@purdue.edu,4,5,9,10.0,0.1925925925925926,0.23762210012210003,769.6381868131872,33
54@purdue.edu,4,0,4,0.0,0.0,0.0,0.0,6
55@purdue.edu,3,0,3,0.0,0.0,0.0,0.0,3
56@purdue.edu,2,2,4,8.0,0.20280811232449297,0.22035714285714275,46.44519632414369,33
57@purdue.edu,7,5,12,7.0,0.2801724137931034,0.32648351648351664,979.4019012377372,33
58@purdue.edu,1,1,2,8.0,0.20155038759689922,0.21779304029304017,0.0,33
59@purdue.edu,5,0,5,0.0,0.0,0.0,0.0,19
60@purdue.edu,0,1,1,8.0,0.20247295208655333,0.22690839694656476,0.0,49
61@purdue.edu,0,1,1,7.0,0.2519230769230769,0.27780806979280237,0.0,50
